rowid,koi_fpflag_nt,koi_score,koi_period,koi_dikco_msky,koi_fpflag_co,koi_fpflag_ss,koi_num_transits,koi_count,koi_steff_err1,koi_fpflag_ec,koi_srho_err2,kepid,koi_fwm_sdeco,koi_depth,koi_dikco_mra_err,koi_fwm_stat_sig,koi_prad_err1,koi_dicco_msky,koi_smet_err2,koi_ror,koi_dikco_msky_err,koi_prad,koi_dor,classification,koi_pdisposition
1,0,1.0,9.48803557,0.32,0,0,142.0,2,81.0,0,-1.09986,10797460,0.94,615.8,0.13,0.002,0.26,0.2,-0.15,0.022344,0.16,2.26,24.81,1,CANDIDATE
2,0,0.969,54.4183827,0.5,0,0,25.0,2,81.0,0,-2.49638,10797460,1.23,874.8,0.34,0.003,0.32,0.39,-0.15,0.027954,0.45,2.83,77.9,1,CANDIDATE
3,0,0.0,19.89913995,0.027,0,0,56.0,1,158.0,0,-2.75453,10811496,-0.038,10829.0,0.071,0.278,3.92,0.042,-0.3,0.154046,0.074,14.6,53.5,1,CANDIDATE
4,0,0.0,1.736952453,0.276,0,1,621.0,1,157.0,0,-0.01837,10848459,0.002,8079.2,0.072,0.0,8.5,0.289,-0.3,0.387394,0.076,33.46,3.278,0,FALSE POSITIVE
5,0,1.0,2.525591777,0.07,0,0,515.0,1,169.0,0,-1.74541,10854555,0.23,603.3,0.18,0.733,0.88,0.1,-0.3,0.024064,0.2,2.75,8.75,1,CANDIDATE
6,0,1.0,11.09432054,0.08,0,0,95.0,3,189.0,0,-0.38858,10872983,0.14,1517.5,0.13,0.15099363807728558,1.27,0.08,-0.3,0.036779,0.1,3.9,16.36,1,CANDIDATE
7,0,1.0,4.13443512,0.19,0,0,240.0,3,189.0,0,-0.26357,10872983,-0.32,686.0,0.15,0.15099363807728558,0.9,0.26,-0.3,0.026133,0.17,2.77,6.96,1,CANDIDATE
8,0,0.992,2.56658897,0.5,0,0,355.0,3,189.0,0,-0.45121,10872983,0.3,226.5,0.33,0.15099363807728558,0.52,0.45,-0.3,0.014983,0.3,1.59,5.54,1,CANDIDATE
9,0,0.0,7.36178958,8.948,1,1,185.0,1,111.0,0,-0.00053,6721123,24.09,233.7,0.071,0.0,6.45,8.93,-0.15,0.183387,0.077,39.21,2.4,0,FALSE POSITIVE
10,0,1.0,16.06864674,0.031,0,0,69.0,3,75.0,0,-0.51226,10910878,-0.044,4914.3,0.075,0.063,0.22,0.044,-0.15,0.062161,0.081,5.76,36.85,1,CANDIDATE
11,0,0.811,2.470613377,0.27,0,0,432.0,1,78.0,0,-0.00846,11446443,0.1066,14231.0,0.069,0.0,0.51,0.3,-0.15,0.123871,0.17,13.04,8.3977,1,CANDIDATE
12,0,1.0,2.204735417,4.19,0,1,611.0,1,76.0,0,-0.02633,10666592,-0.7585,6674.7,0.69,0.15099363807728558,0.81,3.97,-0.15,0.075522,0.75,16.1,4.602,1,CANDIDATE
13,0,0.998,3.522498429,0.178,0,0,384.0,1,112.0,0,-0.01458,6922244,-0.0597,9145.7,0.067,0.0,1.11,0.02,-0.15,0.092086,0.068,14.59,7.541,1,CANDIDATE
14,0,1.0,3.709214104,0.21,0,0,352.0,2,105.0,0,-0.57483,10984090,0.45,131.1,0.16,0.009,0.17,0.29,-0.15,0.010424,0.21,1.16,10.888,1,CANDIDATE
15,0,0.0,11.52144606,0.151,0,1,96.0,1,155.0,0,-0.41065,10419211,-0.038,17984.0,0.067,0.895,39.76,0.013,-0.3,1.625358,0.067,150.51,20.75,0,FALSE POSITIVE
16,0,0.0,19.40393776,0.152,0,1,71.0,1,151.0,0,-0.00172,10464078,-0.005,8918.7,0.068,0.048,0.76,0.009,-0.3,0.096729,0.068,7.18,9.099,0,FALSE POSITIVE
17,0,0.0,19.22138894,0.203,0,1,55.0,2,182.0,0,-0.02917,10480982,-0.2667,74284.0,0.068,0.0,16.03,0.006,-0.35,0.476633,0.067,49.29,31.323,0,FALSE POSITIVE
18,0,0.0,16.46983774,0.017,0,1,66.0,1,168.0,0,-0.01907,10485250,-0.25,10479.0,0.07,0.0,0.89,0.04,-0.3,0.092509,0.071,7.94,14.05,0,FALSE POSITIVE
19,0,1.0,9.27358173,0.346,0,0,144.0,1,131.0,0,-0.14046,10526549,0.2,1288.3,0.084,0.037,0.2,0.059,-0.3,0.032563,0.081,2.47,20.65,1,CANDIDATE
20,0,1.0,6.02930329,0.3,0,0,215.0,1,123.0,0,-3.66782,10583066,-0.24,1912.7,0.11,0.77,0.26,0.11,-0.3,0.038838,0.1,2.85,29.31,1,CANDIDATE
21,0,0.0,2.696370652,2.49,1,1,501.0,1,149.0,1,-0.14593,10583180,-0.53,397.9,0.52,0.0,0.13,2.44,-0.3,0.017673,0.54,1.58,5.827,0,FALSE POSITIVE
22,0,1.0,5.349553819,0.04,0,0,247.0,3,85.0,0,-0.73875,10601284,-0.38,831.0,0.12,0.002,0.16,0.04,-0.15,0.025706,0.12,2.55,13.8015,1,CANDIDATE
23,0,0.98,3.94105221,0.42,0,0,322.0,3,85.0,0,-0.52982,10601284,0.38,363.3,0.19,0.464,0.11,0.42,-0.15,0.017105,0.2,1.7,11.51,1,CANDIDATE
24,0,0.971,8.10904807,0.22,0,0,141.0,3,85.0,0,-0.63643,10601284,-0.1,217.4,0.99,0.013,0.09,0.18,-0.15,0.013127,0.96,1.3,17.46,1,CANDIDATE
25,0,0.4808294015396076,386.6030528,0.163,0,1,385.00676798860127,1,79.0,0,-0.12558,2306756,0.067,24927.0,0.075,0.002,1.68,0.037,-0.101,0.240528,0.07,41.5,332.0,0,FALSE POSITIVE
26,0,1.0,21.67699193,0.36,0,0,62.0,4,79.0,0,-0.06216,10662202,-0.26,857.2,0.13,0.103,0.12,0.11,-0.15,0.032666,0.19,2.95,24.6,1,CANDIDATE
27,0,1.0,4.99677968,0.11,0,0,208.0,1,175.0,0,-1.40683,10682541,-0.17,934.7,0.19,0.998,0.52,0.22,-0.3,0.030014,0.22,2.78,13.14,1,CANDIDATE
28,0,1.0,4.280963604,0.158,0,0,311.0,1,152.0,0,-0.15577,11460018,0.04,750.8,0.089,0.0,0.58,0.066,-0.3,0.025377,0.088,2.3,10.64,1,CANDIDATE
29,0,0.0,1.50635409,1.144,1,0,882.0,1,155.0,0,-0.30543,11463211,0.643,2211.7,0.074,0.0,1.01,1.292,-0.3,0.049899,0.076,4.53,4.67,0,FALSE POSITIVE
30,0,0.0,670.645531,1.092,1,1,3.0,1,100.0,0,-0.00046,11465813,0.435,18091.0,0.089,0.0,2.13,1.306,-0.15,0.131705,0.092,14.14,85.24,0,FALSE POSITIVE
31,0,0.0,61.2563628,0.074,0,1,13.0,1,184.0,0,-0.01383,11493732,0.28,5123.3,0.086,0.156,12.79,0.083,-0.3,0.334628,0.087,39.87,29.1,0,FALSE POSITIVE
32,0,1.0,38.3775486,0.04,0,0,37.0,1,82.0,0,-0.15885,11507101,-0.91,724.2,0.13,0.0,0.37,1.76,-0.15,0.024901,0.14,2.82,47.8,1,CANDIDATE
33,0,0.992,41.19725502,0.08,0,0,26.0,3,75.0,0,-0.98055,10910878,0.0,2213.9,0.2,0.123,0.15,0.12,-0.15,0.041693,0.16,3.86,70.75,1,CANDIDATE
34,0,1.0,6.252962249,0.05,0,0,167.0,3,75.0,0,-1.14248,10910878,0.15,1036.9,0.12,0.236,0.1,0.06,-0.15,0.028604,0.13,2.65,18.94,1,CANDIDATE
35,0,1.0,16.01308419,0.19,0,0,65.0,1,164.0,0,-0.14515,10987985,-0.36,1121.9,0.13,0.167,0.34,0.22,-0.25,0.034369,0.13,3.1,24.7,1,CANDIDATE
36,0,1.0,32.62876672,0.15,0,0,34.0,2,152.0,0,-0.76489,11018648,-0.17,1804.8,0.093,0.047,0.76,0.08,-0.3,0.03852,0.11,3.36,53.95,1,CANDIDATE
37,0,0.978,91.7732862,0.65,0,0,11.0,2,152.0,0,-1.4525,11018648,-0.52,652.0,0.37,0.599,0.48,0.55,-0.3,0.02432,0.66,2.12,89.4,1,CANDIDATE
38,0,1.0,4.959319244,0.08,0,0,269.0,1,77.0,0,-0.18338,11138155,-0.086,9802.0,0.067,0.705,1.96,0.022,-0.15,0.103379,0.068,12.21,12.386,1,CANDIDATE
