pl_radeerr1,st_rad,pl_orbper,st_dist,st_disterr2,pl_trandep,pl_rade,st_pmra,pl_orbpererr2,pl_tranmiderr2,pl_tranmid,pl_eqt,st_tmag,pl_trandeperr1,pl_trandeperr2,pl_orbpererr1,st_logg,pl_insol,st_tefferr2,st_teff,st_disterr1,pl_trandurh,pl_trandurherr1,pl_tranmiderr1,classification,tfopwg_disp
1.9105465,2.16986,2.1713484,485.735,-11.9515,656.8860989,5.8181633,-5.964,-0.0002637,-0.001657,2459229.63,3127.204052,9.604,37.77821,-37.77821,0.0002637,4.19,22601.94858,-264.7,10249.0,11.9515,2.0172196,0.3195879,0.001657,0,FP
2.6242,2.01,1.9316462,295.862,-5.91,1286.0,11.2154,-4.956,-5.3e-06,-0.001916,2459987.949,4045.0,9.42344,1186.49,-1186.49,5.3e-06,4.03,44464.5,-126.4,7070.0,5.91,3.166,0.647,0.001916,1,PC
1.3680428730103202,5.73,1.8675574,943.109,-106.333,1500.0,23.7529,-1.462,-3e-06,-0.000625,2459224.688,2037.0,9.299501,1.7584,-1.7584,3e-06,4.308631089078234,2860.61,-124.0,8924.0,106.333,1.408,0.184,0.000625,0,FP
1.3680428730103202,1.398624360153596,2.74323,7728.17,-1899.57,383.41,10.14030258702008,-0.939,-0.00108,-0.00535,2458493.396,1631.0,9.3003,0.781988,-0.781988,0.00108,4.15,1177.36,-567.0,5388.5,1899.57,3.167,0.642,0.00535,0,FP
3.24714,2.15,3.5730141,356.437,-4.6175,755.0,11.3113,-4.496,-1.28e-05,-0.003748,2459987.047,4260.0,9.1355,1306.55,-1306.55,1.28e-05,4.14,54679.3,-171.1,9219.0,4.6175,3.37,1.029,0.003748,0,FP
0.474611,1.09,4.5505945,100.711,-14.121,3731.0,7.10841,-26.932,-3.1e-06,-0.000581,2459985.157,1257.0,9.1309,123.723,-123.723,3.1e-06,4.308631089078234,414.775,-179.9,5613.0,14.121,2.654,0.339,0.000581,0,FP
8.438766,1.53429,2.5047918,480.5485556089607,-19.681833991538227,2270.540219,8.6950898,-29.1,-0.0004076,-0.002159,2459229.985,1649.82207,9.2386,81.38088,-81.38088,0.0004076,4.308631089078234,1750.932635,-200.0,6616.0,19.681833991538227,4.3797563,0.1036554,0.002159,0,FP
0.764705,2.7,6.9989206,283.291,-3.0025,2840.0,14.7752,0.357,-1.37e-05,-0.0013,2459247.931,1282.0,8.87759,0.943618,-0.943618,1.37e-05,3.71,448.744,-139.2,6596.0,3.0025,3.953,0.437,0.0013,1,PC
1.3680428730103202,1.57,2.0483755,144.297,-19.681833991538227,483.0,3.19621,-17.9,-5.5e-06,-0.002805,2460258.236,1274.598122689369,8.9362,41.94,-41.94,5.5e-06,4.2,5644.4,-584.6,6858.5,19.681833991538227,2.767,0.861,0.002805,0,FP
1.3680428730103202,1.398624360153596,1.9600277,866.147,-172.097,1707.627269,10.14030258702008,-3.297,-2.5e-06,-0.000389,2459229.231,1456.424653,8.4331,49.601223,-49.601223,2.5e-06,4.308631089078234,1063.342296,-809.8,8868.7,172.097,2.0065257,0.050591,0.000389,1,PC
0.6576402,0.890774,1.4303699,375.31,-4.411,18960.71229,13.1874503,12.641,-8e-07,-0.000132,2458326.009,1525.904809,12.4069,184.79134,-184.79134,8e-07,4.48851,1281.240825,-200.91517836935745,5600.0,4.411,1.6165994,0.0192089,0.000132,1,KP
1.5360428,1.0,0.6808702,485.122,-36.246,1507.800689,5.9115908,-5.746,-3.9e-05,-0.000791,2459228.878,4382.026606,8.45086,39.971123,-39.971123,3.9e-05,4.308631089078234,87140.69959,-782.0,9438.0,36.246,2.4634563,0.0557065,0.000791,0,FP
0.107503,0.94,2.4704981,52.62,-0.0793,250.0,1.44656,145.102,-7.3e-06,-0.002619,2459984.628,1364.0,8.2388,18.1279,-18.1279,7.3e-06,4.46,575.597,-132.8,5413.7,0.0793,2.191,0.482,0.002619,1,PC
1.3680428730103202,1.398624360153596,5.4255548,510.295,-9.32,14939.63422,10.14030258702008,-3.973,-0.0002073,-0.000512,2459232.248,1037.275305,7.6095,238.97354,-238.97354,0.0002073,4.308631089078234,273.5880696,-809.8,8868.7,9.32,3.9637474,0.0211401,0.000512,0,FP
